title,price,property_type,frequency,bedrooms,bathrooms,area,location,url,price_clean,price_yearly_aed,bedrooms_clean,bathrooms_clean,area_clean
Converted into 2BR | Private Garden | Furnished,"140,000",Apartment,yearly,1,2,"1,133 sqft","Signature Livings South, Signature Livings, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13307028.html,140000,140000,1.0,2.0,1133.0
Spacious 1Br | Prime Location | JVC,"75,000",Apartment,yearly,1,2,925 sqft,"Reef Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13664095.html,75000,75000,1.0,2.0,925.0
Spacious 1BHK | Prime Location | Ready To Move,"75,000",Apartment,yearly,1,1,753 sqft,"Al Amir Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13662160.html,75000,75000,1.0,1.0,753.0
Spacious 1BR | Pool View | Ready to Move In,"90,000",Apartment,yearly,1,2,717 sqft,"Signature Livings South, Signature Livings, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13654745.html,90000,90000,1.0,2.0,717.0
Bright & Spacious | Prime Location | Ready to Move,"90,000",Apartment,yearly,1,2,894 sqft,"Mayas Geneva, JVC District 14, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13056460.html,90000,90000,1.0,2.0,894.0
Prime Location | Luxury Family Villa | 4BR + Maid,"175,000",Villa,yearly,4,6,"1,697 sqft","The Ghaf Tree, JVC District 13, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-12875515.html,175000,175000,4.0,6.0,1697.0
1 bhk Apartment | with best ammenities | Community View,"70,000",Apartment,yearly,1,2,978 sqft,"Lavender 2, Emirates Gardens, JVC District 12, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13550320.html,70000,70000,1.0,2.0,978.0
Bright & Elegant unit I With skyline view & closed kitchen I Prime location,"90,000",Apartment,yearly,2,2,"1,417 sqft","Lolena Residence, JVC District 12, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13680510.html,90000,90000,2.0,2.0,1417.0
Stylish 1BR Fully Furnished I Smart Home I Ready to Move,"79,999",Apartment,yearly,1,2,638 sqft,"Binghatti Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13545569.html,79999,79999,1.0,2.0,638.0
Brand new upgraded|Specious 1 Bed I Flexible Payment Plan I Ready to move,"67,999",Apartment,yearly,1,2,997 sqft,"Magnolia 2, Emirates Gardens 2, JVC District 14, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13542420.html,67999,67999,1.0,2.0,997.0
Modern Touch 2BHK I High end Quality I Nice Layout,"99,000",Apartment,yearly,2,2,"1,147 sqft","Golden Dream Tower 1, JVC District 18, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-12766382.html,99000,99000,2.0,2.0,1147.0
