title,price,frequency,bedrooms,bathrooms,area,location,url,price_clean,price_yearly_aed,bedrooms_clean,bathrooms_clean,area_clean,area_per_bedroom,bathrooms_per_bedroom,log_area,log_price,building,community,property_type_penthouse,property_type_townhouse,property_type_villa,building_grouped_Binghatti Corner,building_grouped_Binghatti Crest,building_grouped_Binghatti Heights,building_grouped_Binghatti House,building_grouped_Binghatti Phantom,building_grouped_Binghatti Phoenix,building_grouped_Binghatti Royale,"building_grouped_Bloom Heights 1, Bloom Heights",building_grouped_DAMAC Ghalia,building_grouped_Fortunato,building_grouped_Imperial Tower,building_grouped_Laya Residences,building_grouped_Other,building_grouped_Pearl House 2,building_grouped_Reef Residence,building_grouped_Rigel Apartments,building_grouped_Rose 10,building_grouped_SH Living 1,building_grouped_Sydney Villas,building_grouped_Westview Garden,district_JVC District 11,district_JVC District 12,district_JVC District 13,district_JVC District 14,district_JVC District 15,district_JVC District 16,district_JVC District 17,district_JVC District 18,district_Unknown
1BR Apartment for Rent | Balcony & Pool | JVC,"74,000",yearly,1,2,905 sqft,"AAA Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-9398172.html,74000,74000,1.0,2.0,905.0,905.0,2.0,6.80903930604298,11.211833885608513,AAA Residence,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1 B/R with Balcony | Pool & Gym | JVC,"69,000",yearly,1,1,883 sqft,"Emerald Tower, JVC District 18, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-4864285.html,69000,69000,1.0,1.0,883.0,883.0,1.0,6.784457062637643,11.141876276228,Emerald Tower,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Binghatti Phoenix, Jumeirah Village Circle, Dubai","89,990",yearly,1,2,826 sqft,"Binghatti Phoenix, JVC District 13, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13470548.html,89990,89990,1.0,2.0,826.0,826.0,2.0,6.717804695023691,11.40746494431207,Binghatti Phoenix,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Converted into 2BR | Private Garden | Furnished,"140,000",yearly,1,2,"1,133 sqft","Signature Livings South, Signature Livings, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13307028.html,140000,140000,1.0,2.0,1133.0,1133.0,2.0,7.033506484287697,11.849404844423074,"Signature Livings South, Signature Livings",Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Spacious 1Br | Prime Location | JVC,"75,000",yearly,1,2,925 sqft,"Reef Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13664095.html,75000,75000,1.0,2.0,925.0,925.0,2.0,6.8308742346461795,11.225256725762893,Reef Residence,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Spacious 1BHK | Prime Location | Ready To Move,"75,000",yearly,1,1,753 sqft,"Al Amir Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13662160.html,75000,75000,1.0,1.0,753.0,753.0,1.0,6.625392368007956,11.225256725762893,Al Amir Residence,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Spacious 1BR | Pool View | Ready to Move In,"90,000",yearly,1,2,717 sqft,"Signature Livings South, Signature Livings, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13654745.html,90000,90000,1.0,2.0,717.0,717.0,2.0,6.576469569048224,11.407576060361786,"Signature Livings South, Signature Livings",Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bright & Spacious | Prime Location | Ready to Move,"90,000",yearly,1,2,894 sqft,"Mayas Geneva, JVC District 14, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13056460.html,90000,90000,1.0,2.0,894.0,894.0,2.0,6.796823718274855,11.407576060361786,Mayas Geneva,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Prime Location | Luxury Family Villa | 4BR + Maid,"175,000",yearly,4,6,"1,697 sqft","The Ghaf Tree, JVC District 13, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-12875515.html,175000,175000,4.0,6.0,1697.0,424.25,1.5,7.437206366871292,12.07254696717504,The Ghaf Tree,Jumeirah Village Circle (JVC),False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1 bhk Apartment | with best ammenities | Community View,"70,000",yearly,1,2,978 sqft,"Lavender 2, Emirates Gardens, JVC District 12, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13550320.html,70000,70000,1.0,2.0,978.0,978.0,2.0,6.88653164253051,11.156264806643742,"Lavender 2, Emirates Gardens",Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
